player,segment,positioning,core_capability,pricing_model,target_founder_profile,evidence_link
Semrush,F CI/Research,Brand visibility across AI/SEO/PPC,Keyword + competitor + AI search,From ~$139.95/mo,Marketer/growth,https://www.semrush.com/
Similarweb,F CI/Research,Traffic intelligence,Website/app traffic panel,From ~$149/mo (~$125/mo annual),Marketer/investor,https://www.demandsage.com/similarweb-vs-semrush/
Ahrefs,F CI/Research,SEO/backlink research,Keywords + backlinks,From ~$129/mo,SEO/content,https://ampifire.com/blog/semrush-vs-ahrefs-vs-similarweb-for-keyword-research-reviews-pricing/
Exploding Topics,F CI/Research,"""Discover the hottest new trends""",Trend detection,From ~$39/mo,Founder/investor,https://explodingtopics.com/
Glimpse,F CI/Research,"""Discover trends before they're trending""",Topic trend tracking,~$49–$140/mo,Founder/researcher,https://meetglimpse.com/
awesome-selfhosted,G Community,Canonical self-host list,Curated OSS directory,Free,Self-hoster/dev,https://github.com/awesome-selfhosted/awesome-selfhosted
selfh.st,G Community,Self-hosted apps directory,Searchable app directory,Free,Homelabber,https://selfh.st/apps/
Up For Grabs,G Community,Find OSS to contribute to,Beginner-issue directory,Free,New contributor,https://up-for-grabs.net/
made-in-iran,G Community,"""Projects made in Iran""",Regional curated list,Free,Local dev community,https://github.com/topics/curated-list
GitHub awesome-lists,G Community,Hub of community curation,Meta-list of awesome lists,Free,Developer/curator,https://github.com/topics/awesome-lists
Google Search / Trends,H Status quo,The default reflex,Web search + demand trends,Free,Everyone,https://trends.google.com/
ChatGPT,H Status quo,"Founders ""attack"" ideas with AI",General LLM research,Free + paid (not published),Founder/researcher,https://www.inc.com/diana-bocco/ai-claude-chatgpt-stress-test-startup-idea/91363659
Perplexity,H Status quo,Cited AI answer engine,AI research with citations,Free + paid (not published),Founder/researcher,https://www.userintuition.ai/posts/best-competitive-intelligence-platforms/
